businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Tatte Bakery & Cafe,,201 Washington,BOSTON,MA,2108,Active,FS,Eating & Drinking,2019-02-06 16:06:49.45+00,3166851622,172688,42.35851952,-71.05837045
Tatte Bakery & Cafe,,40 Warren,Charlestown,MA,2129,Active,FS,Eating & Drinking,2019-11-22 18:18:02.353+00,6175771111,395388,42.37329952,-71.06152042
Tavern Club,,4 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:33:52+00,6173389682,156405,42.35190077,-71.06617024
Tavern In The Square,,161 Brighton,Allston,MA,2134,Active,FS,Eating & Drinking,2010-07-08 13:21:20+00,6177828100,157226,42.35325688,-71.13245056
Tavern In The Square Restaurant (North Station),,96 Beverly,Boston,MA,2114,Active,FS,Eating & Drinking,2013-10-23 14:59:09+00,6173125613,348029,42.36533808,-71.05985288
Tavern In The Square Restaurant (So. Station),,640 Atlantic,Boston,MA,2111,Active,FS,Eating & Drinking,2013-10-23 14:21:20+00,6173125613,156474,42.35002092,-71.05594181
Tavern of Tales,,1478 Tremont,Mission Hill,MA,2120,Active,FS,Eating & Drinking,2019-11-22 19:58:40.453+00,6177080294,351808,42.33175299,-71.09867991
Tavolo,,1917 DORCHESTER,DORCHESTER,MA,2124,Active,FS,Eating & Drinking,2007-10-22 16:18:15+00,6174365076,,42.28521301,-71.06463894
TBaar,,754 Huntington,Mission Hill,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2020-02-25 20:13:04.587+00,,76421,42.33348659,-71.10572461
TBaar,,32 Kneeland,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2019-04-08 13:54:30.207+00,,354241,42.35084975,-71.06183771
TD Garden - 19 Pantry (Concession) #SW905,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 14:31:26.35+00,,,34.24438675,-73.6513909
TD Garden L3 Dining Lounge #SE-328,,100 Legends,Boston,MA,2114,Active,FS,Eating & Drinking,2019-07-12 12:05:24.92+00,6176241604,,34.24438675,-73.6513909
TD Garden L3 Pantry Rm. #SE-325,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-07-12 11:52:46.357+00,6176241604,,34.24438675,-73.6513909
TD Garden L5 Bar Room #SE-524,,100 Legends,Boston,MA,2114,Active,FS,Eating & Drinking,2019-05-13 14:57:01.27+00,,,34.24438675,-73.6513909
TD Garden L5 Gelato Cafe #SE-525,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 15:03:51.187+00,,,34.24438675,-73.6513909
TD Garden L9 Bar room  #NE-918,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 15:15:30.093+00,,,34.24438675,-73.6513909
TD Garden L9 Bar Room #SW-909,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 14:44:09.78+00,,,34.24438675,-73.6513909
TD Garden L9 Concession #SE-905,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 14:33:01.013+00,,,34.24438675,-73.6513909
TD Garden L9 Concession #SW-914,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2019-05-13 14:34:40.84+00,,,34.24438675,-73.6513909
TD Garden Lev 4 Bar Room SW-417,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:41.39+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 4 Concession SW-418,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:41.88+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 4 Grab & Go SW-420,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:40.927+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 5 Bar Room So. Club SW-523,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:43.353+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 5 Kitchen SW-524,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:42.33+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 7 Bar Room SW-720,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:24:42.94+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 7 Concession SW-721,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:39.88+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev 8 Bar Room SW-809,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:40.373+00,6176241604,340814,42.36656091,-71.06170861
TD Garden Lev7 Grab & Go SW-723,,100 Legends,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2018-11-16 19:25:39.19+00,6176241604,340814,42.36656091,-71.06170861
Tea by the Sea,,99 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,2021-11-01 17:16:05.91+00,6462209991,132523,42.36967314,-71.04243123
Tea Do/ Ice Age,,8 Tyler,Boston,MA,2111,Active,FS,Eating & Drinking,2013-06-12 13:35:10+00,,323538,42.35102952,-71.06043047
Teamoji,,3 Beacon,Allston,MA,2134,Active,FS,Eating & Drinking,2019-12-16 13:06:15.607+00,6179033496,354165,42.35376672,-71.1374606
Teazzi Tea Shop - Boston,,31 Harrison,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2021-09-28 15:00:26.307+00,5854516393,0,34.24438675,-73.6513909
Teddys on the Hill/Red Hat,,9 Bowdoin,Boston,MA,2114,Active,FS,Eating & Drinking,2022-01-03 12:59:59.053+00,,17618,42.36101953,-71.06319045
Telegraph Hill Tavern,,289 Dorchester,South Boston,MA,2127,Active,FS,Eating & Drinking,2010-07-15 15:05:40+00,6173157759,48980,42.33203402,-71.05275841
Temazcal,,300 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2019-04-08 14:25:24.403+00,,,34.24438675,-73.6513909
Temazcal Cantina,,250 Northern,South Boston,MA,2210,Active,FS,Eating & Drinking,2016-08-10 14:02:14.9+00,6174393502,342824,42.34893552,-71.03840072
Ten One Tea House,,1325 Boylston,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2022-01-19 17:35:42.47+00,4014804787,18092,42.3443778,-71.09923516
Ten One Tea House,,279 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2017-12-12 19:20:19.817+00,4019997262,101491,42.34937955,-71.08401453
Ten Second Noodles,,60 Beach,Boston,MA,2111,Active,FS,Eating & Drinking,2021-04-30 13:31:32.203+00,7818882119,351819,42.35140952,-71.06013047
Ten Second Noodles,,417 Cambridge,Allston,MA,2134,Active,FS,Eating & Drinking,2020-07-17 15:34:49.617+00,6173472979,25121,42.35512262,-71.13406262
TEN TABLES,,597 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,2006-12-07 18:35:40+00,5248810,28129,42.3148996,-71.11427067
Tender Food,,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2022-07-13 12:58:03.28+00,6176573606,25110,42.38356954,-71.07435043
Tenderonis,,100 High,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2019-10-17 18:19:31.53+00,6174526262,342934,42.35446496,-71.0552991
Tenderoni's Fenway,,1363 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,2015-09-09 19:16:25+00,7023709870,352893,42.34456866,-71.1006564
Tenoch Mexican,,3 Lewis,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,2013-10-31 12:52:33+00,6176698638,263801,42.36327951,-71.05188042
Tepeyac Cocina Mexicana,,1244 Washington,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,2023-11-02 15:20:24.39+00,7813463304,370984,42.34242953,-71.0672305
Teriyaki Go - Kitchen 103,,94 Shirley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2023-08-17 14:20:21.593+00,,127222,42.32448422,-71.07021699
Teriyaki House,,32 Broadway,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:54+00,6175135701,157330,42.34272552,-71.05637163
Terra Restaurant,,800 Boylston,Boston,MA,2199,Active,FS,Eating & Drinking,2016-03-16 15:01:20.12+00,,157244,42.34729636,-71.08145798
Terrace Cafe,,100 Guest,Brighton,MA,2135,Active,FS,Eating & Drinking,2015-08-03 15:21:47.49+00,6175104385,67705,42.35744563,-71.14467564
TERRAMIA RISTORANTE,,98 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:35:10+00,7818213651,121955,42.36405354,-71.05573405
Test Kitchen,,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2019-05-31 12:56:22.62+00,6175352929,424258,42.34674275,-71.09860525
Tex Mex Eats - Lower Level,,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2022-11-21 19:44:00.54+00,,25110,42.38356954,-71.07435043
Tezcanlar  Inc,Thornton's Restaurant,150 Huntington,Boston,MA,2115,Active,FS,Eating & Drinking,2019-08-09 19:19:57.713+00,,365649,42.34490955,-71.08179053
TGI Fridays,,1622 Tremont,Boston,MA,2120,Active,FS,Eating & Drinking,2020-10-05 14:42:38.82+00,6177341047,,34.24438675,-73.6513909
THAI BASIL,,132 Newbury,Boston,MA,2116,Active,FS,Eating & Drinking,2006-12-07 18:35:22+00,6175780089,101341,42.35091954,-71.0766805
THAI DISH RESTAURANT,,270 Babcock,Boston,MA,2215,Active,FS,Eating & Drinking,2015-12-29 13:38:23.77+00,7817560671,161758,42.35266094,-71.12183768
Thai North Restaurant,,433 Faneuil,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2013-03-08 18:21:53+00,8579193084,156227,42.351226,-71.16846202
Thai Oishi,,203 Adams,Dorchester,MA,2122,Active,FS,Eating & Drinking,2022-03-10 16:45:03.57+00,6172822878,156222,42.30188044,-71.06021035
Thai Place Restaurant,,184 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2011-11-10 18:50:26+00,6177825782,157283,42.35298652,-71.13372109
Thai Spice,,1745 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2013-01-15 19:57:10+00,6174690002,156249,42.28745402,-71.15025071
Thaitation,,129 Jersey,Boston,MA,2215,Active,FS,Eating & Drinking,2009-01-21 20:51:58+00,6175859909,158053,42.34232617,-71.0969522
Thazia,,21 Dry Dock,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,2021-12-14 19:33:02.333+00,,164542,42.344239,-71.03113403
The Alley Bar,,275 Washington,Boston,MA,2108,Active,FS,Eating & Drinking,2013-12-11 20:37:43+00,6172631449,157049,42.35782528,-71.05824885
The Anchor,,36 First,Charlestown,MA,2129,Active,FS,Eating & Drinking,2020-07-07 14:38:41.083+00,6172862404,156731,42.37491598,-71.0539922
The Avenue Bar & Grill,,1249 Commonwealth,Allston,MA,2134,Active,FS,Eating & Drinking,2012-06-29 13:24:24+00,6179033110,37133,42.35020962,-71.13215063
The Avenue Grille,,856 Dorchester,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2018-10-24 15:09:10.36+00,6172888000,156742,42.32154186,-71.0565904
The Backstage Cafe @Emerson,,2 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2018-06-05 18:57:40.853+00,7043284375,18639,42.35204437,-71.06611811
The Bagel Table,,80 Guest,Brighton,MA,2135,Active,FS,Eating & Drinking,2019-07-24 15:43:29.63+00,,422351,42.35732612,-71.14445408
The Banks Fish House,,406 Stuart,Boston,MA,2116,Active,FS,Eating & Drinking,2021-04-26 13:30:25.68+00,7813077730,354491,42.34887054,-71.0737895
THE BANSHEE,,934 DORCHESTER ,DORCHESTER,MA,2125,Active,FS,Eating & Drinking,2006-12-07 18:34:57+00,6174369747,,42.31896196,-71.05647906
THE BARKING CRAB,,88 Sleeper,Boston,MA,2210,Active,FS,Eating & Drinking,2006-12-07 18:34:41+00,6174262722,128154,42.35389451,-71.04857643
The Baupost Group/Cafe Services,,10 ST JAMES,BOSTON,MA,2116,Active,FS,Eating & Drinking,2014-04-17 18:40:30+00,6172108300,,42.35038954,-71.07087049
The Beat Lobby Bar,,135 William T Morrissey,Dorchester,MA,2127,Active,FT,Eating & Drinking w/ Take Out,2023-08-29 16:18:24.703+00,6178708809,149908,42.31600951,-71.04921052
The Bebop,,1116 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,2016-12-08 20:19:50.847+00,6178218203,351728,42.34678956,-71.08871054
The Beehive,,537 Tremont,Boston,MA,2116,Active,FS,Eating & Drinking,2007-05-11 18:50:08+00,6174230069,137617,42.34444065,-71.07125078
THE BELVEDERE CONDOMINIUM,,100 Belvidere,Boston,MA,2199,Active,FS,Eating & Drinking,2006-12-07 18:35:38+00,6172927618,14317,42.34603855,-71.08223753
The Berry Twist,,200 FANEUIL HALL MARKET,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,2009-01-06 14:44:28+00,8573627455,,42.36019933,-71.05479864
The Best Sausage Co.  Inc.,,78 BROOKLINE ,BOSTON,MA,2115,Active,FS,Eating & Drinking,2006-12-07 18:35:09+00,6174484473,,42.3463947,-71.09903112
The Bittersweet Shoppe on Newbury,,257 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2020-05-21 14:16:40.763+00,8572770151,367170,42.34965955,-71.08314052
THE BLARNEY STONE,,1505 DORCHESTER ,DORCHESTER,MA,2122,Active,FS,Eating & Drinking,2006-12-07 18:35:24+00,6174368223,,42.29930253,-71.06062008
THE BOSTON ICE CREAM FACTORY,,777 William T Morrissey,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:18+00,6174362189,156414,42.29480941,-71.04833921
The Bostonian Boston - A Millennium Hotel,,20 North,Boston,MA,2109,Active,FS,Eating & Drinking,2006-12-07 18:34:04+00,6175233600,103543,42.36069052,-71.05634644
The Bowery,,2261 Dorchester,Dorchester,MA,2124,Active,FS,Eating & Drinking,2018-06-22 16:05:00.747+00,6176982261,351628,42.27316954,-71.06801066
The Boxer dba Finch,,105 Merrimac,Boston,MA,2114,Active,FS,Eating & Drinking,2012-07-25 14:13:33+00,6176240202,167651,42.36388137,-71.06239895
The Broadway Restaurant,,732 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2017-03-06 15:23:57.63+00,6177761900,155916,42.33586735,-71.0360515
The Bullpen,,19 Jersey,Boston,MA,2215,Active,FS,Eating & Drinking,2006-12-07 18:33:55+00,6172470924,153276,42.34610957,-71.09884057
THE CAFE ON NEW CHARDON ST.,,25 New Chardon,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:17+00,7818609426,101077,42.36210952,-71.06174045
THE CATERED AFFAIR @ BOS. PUBLIC LIBRARY(T.O.),,700 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2009-05-01 12:53:05+00,7819829333,156199,42.34923057,-71.07865917
The Causeway,,65 Causeway,Boston,MA,2114,Active,FS,Eating & Drinking,2013-04-30 16:39:20+00,6178581880,340675,42.3644436,-71.06267659
THE CHARLES PLAYHOUSE,,74 Warrenton,Boston,MA,2116,Active,FS,Eating & Drinking,2007-03-01 00:40:13+00,6178241921,155909,42.34995245,-71.06616881
The Cheesecake Factory,,115 Huntington,Boston,MA,2199,Active,FS,Eating & Drinking,2006-12-07 18:35:33+00,6173997777,351940,42.34685955,-71.08089052
The Chemist,,218 Congress,Boston,MA,2110,Active,FS,Eating & Drinking,2023-09-29 13:02:56.413+00,,42092,42.35448952,-71.05422045
The Circle Pizza & Tavern,,354 Chestnut Hill,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,2018-12-27 19:16:29.533+00,6179048482,163348,42.33688903,-71.15150523
The Corner Pub of Chinatown,,162 Lincoln,Boston,MA,2111,Active,FS,Eating & Drinking,2008-06-26 15:17:40+00,6175427080,86076,42.35077367,-71.05837541
The Corner Restaurant,,156 Bunker Hill,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2017-12-12 15:19:27.623+00,6172425494,162705,42.37826556,-71.06088911
The Corner Tavern,,421 Marlborough,Boston,MA,2215,Active,FS,Eating & Drinking,2006-12-07 18:34:34+00,6172546633,91385,42.35013956,-71.08944053
The Daily Catch,,65 Atlantic,Boston,MA,2110,Active,FS,Eating & Drinking,2020-06-15 18:52:17.42+00,6177724400,358276,42.36291951,-71.05126042
The Delux Cafe,,100 Chandler,Boston,MA,2116,Active,FS,Eating & Drinking,2014-03-03 16:25:34+00,6173385258,28615,42.34625954,-71.07288051
the dorset,,367 Neponset,Dorchester,MA,2122,Active,FS,Eating & Drinking,2015-10-15 15:38:39.157+00,6175925323,354393,42.28668949,-71.04510726
The Dot Tavern,,840 Dorchester,Dorchester,MA,2125,Active,FS,Eating & Drinking,2023-03-17 18:58:03.593+00,6175506820,48750,42.32215852,-71.05660152
The Draft Bar & Grill,,32 Harvard,Allston,MA,2134,Active,FS,Eating & Drinking,2007-11-05 20:32:34+00,7818910727,70389,42.35487262,-71.13234862
The Dubliner,,2 Center,Boston,MA,2108,Active,FS,Eating & Drinking,2022-04-28 15:47:38.557+00,,154960,42.3597992,-71.06020151
THE ELEPHANT WALK,,1415 Washington,Roxbury,MA,2118,Active,FS,Eating & Drinking,2014-10-30 12:26:48.877+00,6172471500,161051,42.34122637,-71.07053139
The Fed,,250 Franklin,Boston,MA,2109,Active,FS,Eating & Drinking,2021-04-28 15:29:32.31+00,6174511900,157806,42.35663,-71.05427989
THE FIELD HOUSE,,100 Ashford,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:45+00,6173532947,5115,42.35458961,-71.1236706
The Flamingo,,266 Commercial,Boston,MA,2109,Active,FS,Eating & Drinking,2022-05-26 14:36:55.76+00,,36258,42.36431951,-71.05135042
The Fourth Wall,,228 Tremont,Boston,MA,2116,Active,FS,Eating & Drinking,2019-01-10 16:26:03.293+00,8579570909,137460,42.35134553,-71.06458448
The Frenchman's Goods (Lower),,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2022-10-11 15:36:46.313+00,,25110,42.38356954,-71.07435043
The Friendly Toast,,35 Stanhope,Boston,MA,2116,Active,FS,Eating & Drinking,2015-12-11 16:11:14.077+00,6179019990,130167,42.34852384,-71.07325201
THE GALLEY DINER,,11 P STREET,SOUTH BOSTON,MA,2127,Active,FS,Eating & Drinking,2006-12-07 18:34:39+00,6175495549,,42.33780765,-71.02734898
The Garret,,131 Seaport,Boston,MA,2210,Active,FS,Eating & Drinking,2022-03-24 15:38:10.32+00,2036448668,420769,42.35036182,-71.04371593
The Godfrey Hotel Boston,,505 Washington,Boston,MA,2111,Active,FS,Eating & Drinking,2015-10-08 13:07:44.28+00,6176342959,350866,42.35466155,-71.06168519
The Greatest Bar,The Next Place LLC,262 Friend,Boston,MA,2114,Active,FS,Eating & Drinking,2009-02-26 18:26:09+00,6173670544,156272,42.36453289,-71.06139163
The Greek Gyro,,88 Peterborough,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2023-07-07 19:10:06.593+00,7813253577,352526,42.34313457,-71.09884157
The Halal Guys,,4 Lucy,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2023-01-09 15:19:57.433+00,,420663,42.32446811,-71.06252827
The Halal Guys,,137 Stuart,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,2017-06-22 17:22:00.983+00,6462033383,368373,42.35136953,-71.06613048
The Halal Shack,,775 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2023-08-02 13:11:14.287+00,5182098776,157395,42.35074335,-71.10903869
The Half Cookie Lower Level,,32 Cambridge,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,2022-09-29 15:53:52.717+00,5183399878,25110,42.38356954,-71.07435043
THE HARP,,85 Causeway,Boston,MA,2114,Active,FS,Eating & Drinking,2006-12-07 18:34:27+00,7421010,158179,42.36461472,-71.0623833
The Haven at the Brewery,,284 Amory,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,2022-06-07 15:50:30.41+00,6176349184,157287,42.31459292,-71.10381626
THE HILL TAVERN,,228 Cambridge,Boston,MA,2114,Active,FS,Eating & Drinking,2006-12-07 18:34:49+00,,158062,42.36098537,-71.06661113
The Hopewell Bar & Kitchen,,1277 Commonwealth,Allston,MA,2134,Active,FS,Eating & Drinking,2012-08-31 13:58:44+00,6172088534,37258,42.34981962,-71.13342063
THE HUB PUB,,18 Province,Boston,MA,2108,Active,FS,Eating & Drinking,2006-12-07 18:34:51+00,6172278952,157431,42.35725413,-71.05958108
The Ice Creamsmith,,2295 Dorchester,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,2014-01-29 18:29:39+00,6172968567,156432,42.27241142,-71.06821862
THE IMPROV ASYLUM,,216 Hanover,BOSTON,MA,2113,Active,FS,Eating & Drinking,2006-12-07 18:34:59+00,6172631221,,42.36302952,-71.05551043
The Inn @ St. Botolph,,99 Saint Botolph,Boston,MA,2116,Active,FS,Eating & Drinking,2008-09-23 14:01:43+00,6172661168,120944,42.34500855,-71.08089353
The Joint,,605 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,2019-02-21 16:54:05.26+00,,157831,42.31477998,-71.11427969
The Juicery,,700 Commonwealth,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,2022-07-05 15:22:05.697+00,6172955990,41232,42.34935958,-71.10402057
The Juicery,,58 Salem,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,2018-01-16 16:13:38.103+00,6179364010,360941,42.36328952,-71.05618043
The Kenmore,,476 Commonwealth,Boston,MA,2215,Active,FS,Eating & Drinking,2020-02-13 19:44:41.5+00,6172666662,40988,42.34853957,-71.09385055
The Koji Club,,525 Western,Brighton,MA,2135,Active,FS,Eating & Drinking,2021-11-01 18:30:01.943+00,,148220,42.36174863,-71.14519972
The Landing,,6 Long,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:16+00,6172274321,158098,42.36020746,-71.05076306
The Langham Club,,250 Franklin,Boston,MA,2109,Active,FS,Eating & Drinking,2021-04-28 15:28:08.08+00,6174511900,157806,42.35663,-71.05427989
The Langham Hotel/Grana,,250 Franklin,Boston,MA,2109,Active,FS,Eating & Drinking,2021-04-28 15:21:29.197+00,6174511900,157806,42.35663,-71.05427989
The Lansdowne,,9 Lansdowne,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:28+00,6175232727,155839,42.34734129,-71.0950817
THE LAST DROP,,596 WASHINGTON,BRIGHTON,MA,2135,Active,FS,Eating & Drinking,2006-12-07 18:34:23+00,6172546633,,34.24438675,-73.6513909
The Liberty Hotel,,215 Charles,Boston,MA,2114,Active,FS,Eating & Drinking,2013-12-13 19:50:28+00,6172244000,160740,42.36202989,-71.07036256
The Maharaja - K111,,94 Shirley,Roxbury,MA,2119,Active,FT,Eating & Drinking w/ Take Out,2024-01-10 17:35:13.283+00,6175472757,127222,42.32448422,-71.07021699
THE MASTER MCGRATH,,1152 River,Hyde Park,MA,2136,Active,FS,Eating & Drinking,2006-12-07 18:36:29+00,6173618011,116331,42.25646962,-71.12031081
The Merchant,,60 Franklin,Boston,MA,2110,Active,FS,Eating & Drinking,2013-05-01 14:08:34+00,6176975215,60684,42.35576952,-71.05838045
The Mix,,555 Talbot,Dorchester,MA,2124,Active,FS,Eating & Drinking,2024-02-12 16:55:30.957+00,6172916514,156895,42.28609148,-71.06472899
The Monkey Bar,,200 Faneuil Hall Market,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,2011-04-08 16:03:39+00,6173672110,,34.24438675,-73.6513909
The Nada Cart,,80 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2023-01-10 19:26:09.617+00,,423633,42.3656452,-71.06165549
The Nautilus,,300 Pier 4,Boston,MA,2210,Active,FS,Eating & Drinking,2019-09-27 19:50:56.187+00,5082726454,419459,42.35277501,-71.04197748
The Newbury- Banquet & Room Service 2nd Floor,,15 Arlington,Boston,MA,2116,Active,FS,Eating & Drinking,2019-11-12 13:47:16.103+00,6173384400,4827,42.35282954,-71.07160049
The Newbury Street Bar,,15 Arlington,Boston,MA,2116,Active,FS,Eating & Drinking,2019-11-12 13:49:58.627+00,6173384400,4827,42.35282954,-71.07160049
The Oceanaire Seafood Room,,40 Court,Boston,MA,2108,Active,FS,Eating & Drinking,2007-09-13 14:14:22+00,6122369628,43809,42.35906427,-71.05932641
The Olive Garden Italian Restaurant # 1674,,1118 Massachusetts,Dorchester,MA,2125,Active,FS,Eating & Drinking,2007-06-04 15:12:05+00,6179891371,172432,42.32630159,-71.06527171
The Oyster Bar,,200 Faneuil Hall Marketplace,Boston,MA,2109,Active,FS,Eating & Drinking,2022-05-19 14:50:39.787+00,6175902206,156093,42.36019933,-71.05479864
The Paramount,,667 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2011-06-07 18:33:20+00,6175044199,21114,42.33541949,-71.03786045
The Paramount Cafe @Emerson,,555 Washington,Boston,MA,2111,Active,FS,Eating & Drinking,2018-06-05 18:44:07.163+00,7043284375,351503,42.35345753,-71.06285247
The Pearl Seafood Grill & Raw Bar,,20 District,Dorchester,MA,2125,Active,FS,Eating & Drinking,2019-12-09 13:49:26.36+00,6172888810,423052,42.32529219,-71.06266108
The Pine Bar,,100 Hanover,Boston,MA,2108,Active,FS,Eating & Drinking,2022-06-07 19:39:40.17+00,,355634,42.36215952,-71.05749044
THE POINT,,145 Hanover,Boston,MA,2108,Active,FS,Eating & Drinking,2006-12-07 18:35:16+00,5237020,69055,42.36167952,-71.05704044
The Porter Cafe,,1723 Centre,West Roxbury,MA,2132,Active,FS,Eating & Drinking,2011-01-28 14:39:23+00,,27707,42.28737965,-71.14920081
The Purple Shell,,11 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,2019-06-14 13:44:07.107+00,,426196,42.34238361,-71.05674771
The Q,,640 Washington,Boston,MA,2111,Active,FS,Eating & Drinking,2010-01-22 16:08:40+00,6268077739,145744,42.35197953,-71.06210647
The Quiet Few,,331 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,2018-10-03 17:02:05.147+00,6175611061,132400,42.36709247,-71.03601196
The Quin,,217 Commonwealth,Boston,MA,2116,Active,FS,Eating & Drinking,2019-06-13 17:12:31.933+00,6179132903,39667,42.35138955,-71.08185051
The Quin Bondo Restaurant,,217 Commonwealth,Boston,MA,2116,Active,FS,Eating & Drinking,2021-07-30 15:18:38.1+00,6179132903,39667,42.35138955,-71.08185051
The Real Deal,,1882 Centre,West Roxbury,MA,2132,Active,FS,Eating & Drinking,2006-12-07 18:36:25+00,6175154336,27748,42.28567756,-71.15553372
The Real Deal,,728 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,2008-03-06 13:59:06+00,6175154336,28180,42.3108916,-71.11438068
THE SALTY DOG,,100-199 Faneuil Hall Market,Boston,MA,2109,Active,FS,Eating & Drinking,2007-04-11 18:43:23+00,6178995664,,34.24438675,-73.6513909
